neg_log_10_p_val,var,CHR,Position,Gene,alias,Kegg_Pathway
2.227,cg19710662,1,15256222,ENSG00000189337,KAZN,nan
2.974,cg00577560,1,15271830,ENSG00000189337,KAZN,nan
2.737,cg11648522,1,15272238,ENSG00000189337,KAZN,nan
2.221,cg26705494,1,15473623,ENSG00000175147,TMEM51-AS1,nan
2.399,cg21331060,1,15477771,ENSG00000175147,TMEM51-AS1,nan
2.335,cg10107292,1,15504438,ENSG00000171729,TMEM51,nan
2.378,cg02407779,1,15691342,ENSG00000142621,FHAD1,nan
2.497,cg09689338,1,15885878,ENSG00000116138,DNAJC16,nan
2.353,cg14566220,1,16007630,ENSG00000116786,PLEKHM2,Salmonella infection
2.438,cg12790869,1,16024575,ENSG00000116786,PLEKHM2,Salmonella infection
2.251,cg11401784,1,16092264,ENSG00000162458,FBLIM1,nan
2.444,cg17586777,1,16112992,ENSG00000162458,FBLIM1,nan
2.536,cg10406180,1,16289271,ENSG00000116809,ZBTB17,Transcriptional misregulation in cancer;Cell cycle
3.019,cg15558527,1,16374846,ENSG00000184908,CLCNKB,Collecting duct acid secretion
2.522,cg03270919,1,16450404,ENSG00000142627,EPHA2,Axon guidance;PI3K-Akt signaling pathway;Rap1 signaling pathway;Ras signaling pathway
2.487,cg27582323,1,16472728,ENSG00000142627,EPHA2,Axon guidance;PI3K-Akt signaling pathway;Rap1 signaling pathway;Ras signaling pathway
2.397,cg18761252,1,16531496,ENSG00000142632,ARHGEF19,nan
2.329,cg14163966,1,16564421,ENSG00000132881,RSG1,nan
2.289,cg20065005,1,16712408,ENSG00000055070,SZRD1,nan
2.636,cg14553527,1,16860759,ENSG00000233421,LINC01783,nan
4.339,cg05326195,1,16940116,ENSG00000215908,CROCCP2,nan
2.282,cg03772852,1,16965062,ENSG00000215908,CROCCP2,nan
3.286,cg25717919,1,17043422,ENSG00000268869,ESPNP,nan
2.616,cg26664206,1,17241705,ENSG00000058453,CROCC,nan
2.769,cg21920827,1,17304822,ENSG00000117122,MFAP2,nan
2.655,cg19306948,1,17308206,ENSG00000159363,ATP13A2,nan
3.447,cg19934703,1,17332367,ENSG00000159363,ATP13A2,nan
2.537,cg22688160,1,17381850,ENSG00000117118,SDHB,Huntington's disease;Parkinson's disease;Alzheimer's disease;Non-alcoholic fatty liver disease (NAFLD);Carbon metabolism;Metabolic pathways;Oxidative phosphorylation;Citrate cycle (TCA cycle)
2.359,cg03006517,1,17411586,ENSG00000117115,PADI2,Axon guidance
3.051,cg08168943,1,17513684,ENSG00000204362,ENSG00000204362,nan
2.841,cg12687191,1,17545609,ENSG00000142623,ENSG00000142623,nan
2.553,cg12643633,1,17698854,ENSG00000256049,,nan
2.343,cg14347781,1,17786764,-,,nan
2.6,cg20176615,1,18509719,ENSG00000117154,IGSF21,nan
3.616,cg13407917,1,19244694,ENSG00000169991,IFFO2,nan
2.266,cg19839415,1,19259050,ENSG00000169991,IFFO2,nan
2.414,cg11697440,1,19280186,ENSG00000169991,IFFO2,nan
3.147,cg22333259,1,19394757,ENSG00000272084,ENSG00000272084,nan
2.281,cg21417130,1,19400922,ENSG00000127481,UBR4,Viral carcinogenesis
2.271,cg20432732,1,19451037,ENSG00000127481,UBR4,Viral carcinogenesis
2.498,cg08814913,1,19530176,ENSG00000127481,UBR4,Viral carcinogenesis
3.809,cg05348366,1,19665184,ENSG00000077549,CAPZB,Endocytosis
2.554,cg07905985,1,19688056,ENSG00000077549,CAPZB,Endocytosis
2.272,cg24462980,1,19762766,ENSG00000077549,CAPZB,Endocytosis
2.341,cg17425580,1,20521101,ENSG00000162543,UBXN10,nan
2.687,cg17464911,1,20928129,ENSG00000158825,CDA,Metabolic pathways;Drug metabolism - other enzymes;Pyrimidine metabolism
2.542,cg26379429,1,21227287,ENSG00000075151,EIF4G3,Viral myocarditis;RNA transport
2.246,cg08692046,1,21501347,ENSG00000075151,EIF4G3,Viral myocarditis;RNA transport
2.223,cg09046664,1,21501349,ENSG00000075151,EIF4G3,Viral myocarditis;RNA transport
2.227,cg26467313,1,21596298,ENSG00000117298,ECE1,nan
3.038,cg11834658,1,21611224,ENSG00000117298,ECE1,nan
2.634,cg19952435,1,22094929,ENSG00000090686,USP48,nan
2.329,cg07420232,1,22102041,ENSG00000090686,USP48,nan
2.281,cg25403144,1,22181934,ENSG00000142798,HSPG2,Proteoglycans in cancer;Hepatitis B;ECM-receptor interaction
2.882,cg23156486,1,22310773,ENSG00000219073,CELA3B,Protein digestion and absorption;Pancreatic secretion
2.357,cg23159779,1,22313120,ENSG00000219073,CELA3B,Protein digestion and absorption;Pancreatic secretion
2.602,cg02532717,1,22470555,ENSG00000162552,WNT4,Breast cancer;Basal cell carcinoma;Proteoglycans in cancer;Pathways in cancer;HTLV-I infection;Thyroid hormone signaling pathway;Melanogenesis;Signaling pathways regulating pluripotency of stem cells;Hippo signaling pathway;Axon guidance;Wnt signaling pathway;mTOR signaling pathway
4.359,cg20525710,1,22564574,-,,nan
2.336,cg26431823,1,22565268,-,,nan
3.822,cg15061159,1,22871587,-,,nan
2.625,cg05941864,1,22893978,ENSG00000070886,EPHA8,Axon guidance
2.947,cg20991983,1,22927528,ENSG00000070886,EPHA8,Axon guidance
2.237,cg08710757,1,22962506,ENSG00000173372,C1QA,Systemic lupus erythematosus;Staphylococcus aureus infection;Chagas disease (American trypanosomiasis);Pertussis;Prion diseases;Complement and coagulation cascades
2.433,cg25882380,1,22969945,ENSG00000159189,C1QC,Systemic lupus erythematosus;Staphylococcus aureus infection;Chagas disease (American trypanosomiasis);Pertussis;Prion diseases;Complement and coagulation cascades
2.574,cg08326181,1,22997359,-,,nan
2.304,cg03564760,1,23130646,ENSG00000133216,EPHB2,Axon guidance
2.277,cg01619618,1,23610607,ENSG00000261326,ENSG00000261326,nan
2.343,cg01502115,1,23777895,ENSG00000088280,ENSG00000088280,nan
2.783,cg27518976,1,23886730,ENSG00000117318,ENSG00000117318,nan
2.375,cg25139234,1,23983648,-,,nan
2.456,cg25448571,1,24281705,ENSG00000189266,PNRC2,nan
2.346,cg16312972,1,24302860,ENSG00000188529,SRSF10,Spliceosome
2.713,cg15414417,1,24349415,-,,nan
2.898,cg07259880,1,24428942,ENSG00000142661,MYOM3,nan
2.289,cg10466522,1,24532605,ENSG00000230023,LOC284632,nan
2.474,cg09322349,1,24645184,ENSG00000158055,GRHL3,nan
2.269,cg26431550,1,24691176,ENSG00000001460,STPG1,nan
2.35,cg16825510,1,24695870,ENSG00000001460,STPG1,nan
2.293,cg08217452,1,25193455,-,,nan
2.254,cg03171924,1,25258332,ENSG00000020633,RUNX3,Th1 and Th2 cell differentiation
2.26,cg20576140,1,25427256,ENSG00000233755,ENSG00000233755,nan
2.346,cg11918518,1,25439789,ENSG00000233755,ENSG00000233755,nan
2.384,cg10176185,1,25894479,ENSG00000157978,LDLRAP1,Endocytosis
2.574,cg00915556,1,25895276,ENSG00000157978,LDLRAP1,Endocytosis
2.347,cg14252211,1,25919394,ENSG00000225643,ENSG00000225643,nan
2.961,cg06080267,1,25943116,ENSG00000117643,MAN1C1,Protein processing in endoplasmic reticulum;Metabolic pathways;N-Glycan biosynthesis
3.205,cg10485752,1,26021655,ENSG00000117643,MAN1C1,Protein processing in endoplasmic reticulum;Metabolic pathways;N-Glycan biosynthesis
2.834,cg06603855,1,26035664,ENSG00000117643,MAN1C1,Protein processing in endoplasmic reticulum;Metabolic pathways;N-Glycan biosynthesis
2.383,cg08741329,1,26203802,ENSG00000207302,ENSG00000207302,nan
2.304,cg13555278,1,26348484,ENSG00000158008,EXTL1,Metabolic pathways;Glycosaminoglycan biosynthesis - heparan sulfate / heparin
2.53,cg25927524,1,26446760,ENSG00000175087,PDIK1L,nan
2.387,cg03722802,1,26495178,ENSG00000142684,ZNF593,nan
2.263,cg20838623,1,26646309,ENSG00000176092,CRYBG2,nan
3.346,cg23839317,1,26714208,-,,nan
2.489,cg20399213,1,27020750,ENSG00000117713,ARID1A,nan
2.302,cg20595827,1,27226982,ENSG00000198746,GPATCH3,nan
2.395,cg24738346,1,27479312,ENSG00000090020,SLC9A1,Proteoglycans in cancer;Bile secretion;Pancreatic secretion;Gastric acid secretion;Salivary secretion;Thyroid hormone signaling pathway;Regulation of actin cytoskeleton;Apelin signaling pathway;Adrenergic signaling in cardiomyocytes;Cardiac muscle contraction;cAMP signaling pathway
3.401,cg06390067,1,27625926,ENSG00000142784,WDTC1,nan
3.681,cg13635659,1,27673982,ENSG00000142765,SYTL1,nan
2.304,cg01730970,1,27687074,ENSG00000142733,MAP3K6,MAPK signaling pathway
3.171,cg00266535,1,27695876,ENSG00000142748,FCN3,nan
2.24,cg13680928,1,27856337,ENSG00000126705,AHDC1,nan
2.367,cg20485084,1,27945005,ENSG00000000938,FGR,Epstein-Barr virus infection;Chemokine signaling pathway
3.888,cg00065048,1,27962037,ENSG00000000938,FGR,Epstein-Barr virus infection;Chemokine signaling pathway
3.746,cg20288752,1,28055112,ENSG00000009780,FAM76A,nan
2.468,cg16903618,1,28111716,ENSG00000117758,STX12,Phagosome
3.328,cg08623383,1,28205926,ENSG00000130775,THEMIS2,nan
2.961,cg03700669,1,28284100,ENSG00000158156,XKR8,nan
2.49,cg22500255,1,28384743,ENSG00000158161,EYA3,nan
2.907,cg13400109,1,28384890,ENSG00000158161,EYA3,nan
2.468,cg11844530,1,28576552,ENSG00000130770,ATPIF1,nan
2.294,cg11877273,1,29182535,ENSG00000116329,ENSG00000116329,Neuroactive ligand-receptor interaction;Sphingolipid signaling pathway;cGMP-PKG signaling pathway
2.481,cg11690983,1,29211119,ENSG00000159023,EPB41,nan
3.093,cg12645785,1,29229403,ENSG00000159023,EPB41,nan
2.895,cg21291672,1,29451713,ENSG00000253304,TMEM200B,nan
2.65,cg00685585,1,29503379,ENSG00000116350,SRSF4,Herpes simplex infection;Spliceosome
2.478,cg23724935,1,29505383,ENSG00000116350,SRSF4,Herpes simplex infection;Spliceosome
2.539,cg03459646,1,29557674,ENSG00000116353,MECR,Fatty acid metabolism;Metabolic pathways;Fatty acid elongation
2.92,cg12060858,1,30056656,-,,nan
2.373,cg26796036,1,30373231,ENSG00000270927,ENSG00000270927,nan
3.172,cg19026587,1,30601960,-,,nan
3.353,cg22111442,1,31441196,ENSG00000134644,PUM1,nan
2.274,cg03596592,1,31695179,ENSG00000084628,NKAIN1,nan
2.636,cg21546601,1,31982773,ENSG00000223907,,nan
2.259,cg04002524,1,32037272,ENSG00000142910,TINAGL1,nan
2.315,cg06209197,1,32106926,ENSG00000162517,PEF1,nan
2.235,cg07014190,1,32123870,ENSG00000084636,COL16A1,nan
2.41,cg02989257,1,32169274,ENSG00000084636,COL16A1,nan
2.273,cg06811130,1,32221830,ENSG00000121753,ADGRB2,nan
2.336,cg07339122,1,32430168,-,,nan
2.787,cg23972298,1,32665582,ENSG00000160050,CCDC28B,nan
4.129,cg20047483,1,32732649,ENSG00000182866,LCK,Primary immunodeficiency;HTLV-I infection;T cell receptor signaling pathway;Th17 cell differentiation;Th1 and Th2 cell differentiation;Natural killer cell mediated cytotoxicity;Osteoclast differentiation;NF-kappa B signaling pathway
2.538,cg00292107,1,32800350,ENSG00000175130,MARCKSL1,Leishmaniasis;Fc gamma R-mediated phagocytosis
2.997,cg06746774,1,33216950,ENSG00000162522,KIAA1522,nan
2.737,cg13870776,1,33352269,ENSG00000121905,HPCA,nan
2.319,cg19383974,1,33463643,ENSG00000236065,ENSG00000236065,nan
3.667,cg04306220,1,33519235,ENSG00000004455,AK2,Metabolic pathways;Thiamine metabolism;Purine metabolism
2.339,cg12731430,1,33546417,ENSG00000142920,AZIN2,Metabolic pathways;Arginine and proline metabolism
2.408,cg21193012,1,33551303,ENSG00000142920,AZIN2,Metabolic pathways;Arginine and proline metabolism
2.426,cg09618877,1,33638218,ENSG00000116525,TRIM62,nan
2.307,cg18964375,1,33772147,ENSG00000184389,A3GALT2,Glycosphingolipid biosynthesis - globo and isoglobo series
2.694,cg25373430,1,35220531,ENSG00000189280,GJB5,nan
3.697,cg14583924,1,35225197,ENSG00000189280,GJB5,nan
2.61,cg23514860,1,35364395,ENSG00000116544,DLGAP3,nan
2.532,cg23091723,1,35920054,ENSG00000142687,KIAA0319L,nan
3.816,cg25729132,1,35936544,ENSG00000142687,KIAA0319L,nan
2.732,cg22402261,1,36026611,ENSG00000142687,KIAA0319L,nan
2.407,cg22851880,1,36038701,ENSG00000116819,TFAP2E,nan
2.388,cg14781700,1,36315949,ENSG00000134698,AGO4,nan
2.528,cg15084851,1,36317380,ENSG00000134698,AGO4,nan
2.227,cg01174827,1,36615864,ENSG00000054116,TRAPPC3,nan
2.495,cg04574716,1,36644446,ENSG00000116871,MAP7D1,nan
2.253,cg03683213,1,36675501,-,,nan
2.35,cg22290935,1,36683516,-,,nan
2.327,cg13035551,1,36723271,ENSG00000054118,THRAP3,nan
2.252,cg15467877,1,36814475,ENSG00000196182,STK40,nan
2.634,cg16305437,1,36902670,ENSG00000116885,OSCP1,nan
2.428,cg18004314,1,36924392,ENSG00000116898,MRPS15,Ribosome
